rule:50	                             )	    22	                 TK_CL	 ------	               ioStmt	 yes	                 ----


rule:50	                             ;	    22	                TK_SEM	 ------	               ioStmt	 yes	                 ----


rule:30	                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


rule:30	                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


rule:31	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:30	                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


rule:85	                        return	    23	             TK_RETURN	 ------	           returnStmt	 yes	                 ----


rule:17	                          ----	 -----	                ------	 -----	                stmts	  no	           returnStmt


rule:87	                         -----	 -----	                ------	  ----	                 ROOT	 yes	                 ----


rule:85	                          ----	 -----	                ------	 -----	           returnStmt	  no	       optionalReturn


rule:85	                             ;	    23	                TK_SEM	 ------	           returnStmt	 yes	                 ----


rule:2	                           end	    24	                TK_END	 ------	         mainFunction	 yes	                 ----


rule:5	                         _sumN	     4	              TK_FUNID	 ------	             function	 yes	                 ----


rule:3	                          ----	 -----	                ------	 -----	       otherFunctions	  no	             function


rule:5	                         _sumN	     4	              TK_FUNID	 ------	             function	 yes	                 ----


rule:3	                          ----	 -----	                ------	 -----	       otherFunctions	  no	             function


rule:5	                          ----	 -----	                ------	 -----	             function	  no	       parameter_list


rule:-1	                        ------	 -----	                 -----	 ------	                 ROOT	  no	                 ----


rule:5	                          ----	 -----	                ------	 -----	             function	  no	       parameter_list


rule:-1	                        ------	 -----	                 -----	 ------	                 ROOT	  no	                 ----


rule:5	                          ----	 -----	                ------	 -----	             function	  no	       parameter_list


rule:-1	                        ------	 -----	                 -----	 ------	                 ROOT	  no	                 ----


